x,y
3.024838110625e+0,2.970315592517e-37
3.126987883487e+0,1.886526247390e-37
3.206199630849e+0,1.268619891816e-37
3.297630185837e+0,9.418899342078e-38
3.385726600487e+0,6.256383218057e-38
3.502798518233e+0,4.173474164025e-38
3.610524434912e+0,2.889368318145e-38
3.721560171966e+0,1.992943582262e-38
3.836023859658e+0,1.395209480708e-38
3.954014914683e+0,9.840337431354e-39
4.075652789172e+0,7.070432137209e-39
4.201039869456e+0,5.118091944622e-39
4.330295672052e+0,3.746359466332e-39
4.480479329266e+0,2.665946365151e-39
4.653489975407e+0,1.866361735888e-39
4.833191310297e+0,1.318292027947e-39
5.019845925121e+0,9.423001982095e-40
5.213716208506e+0,6.775601657327e-40
5.415085115295e+0,4.915614745606e-40
5.624231475822e+0,3.566217370688e-40
5.841459707097e+0,2.594945535733e-40
6.067086450458e+0,1.899457625537e-40
6.325339094960e+0,1.333719456680e-40
6.594593663018e+0,9.420637454409e-41
6.875328723274e+0,6.733764865724e-41
7.195224094230e+0,4.644618475715e-41
7.530020873058e+0,3.235517011396e-41
7.880436651484e+0,2.304707440076e-41
8.247168800007e+0,1.649828084159e-41
8.663794007506e+0,1.176445161984e-41
9.136082665552e+0,8.359271258455e-42
9.634169365783e+0,6.080012923540e-42
1.019804795857e+1,4.399987146596e-42
1.083600631467e+1,3.196882042928e-42
1.155768651775e+1,2.332833493587e-42
1.242137822539e+1,1.688256104688e-42
1.345141195498e+1,1.235942733802e-42
1.462237668736e+1,9.319751727308e-43
1.596795957498e+1,7.206437386923e-43
1.727942095822e+1,5.911923988358e-43
1.878406694293e+1,4.939858107705e-43
2.041985513273e+1,4.234918110668e-43
2.219826798523e+1,3.755259159868e-43
2.413166531880e+1,3.388911876233e-43
2.623357867623e+1,3.120895667199e-43
2.851865310348e+1,2.909225545890e-43
3.100296321233e+1,2.786166194086e-43
3.370378105165e+1,2.700945444286e-43
3.664007545943e+1,2.679145912513e-43
3.983225659456e+1,2.679145912513e-43
4.330254906738e+1,2.679145912513e-43
4.707518267970e+1,2.679145912513e-43
5.117654633259e+1,2.690023595989e-43
5.563553244972e+1,2.763678839296e-43
6.048325528097e+1,2.885744969910e-43
6.575341876219e+1,3.021353004681e-43
7.148286125366e+1,3.176177133120e-43
7.771156467935e+1,3.343447698250e-43
8.448301003905e+1,3.519527420044e-43
9.184454707748e+1,3.714901650675e-43
9.984757253119e+1,3.926420986715e-43
1.085480568472e+2,4.166833303988e-43
1.180067180473e+2,4.427942423907e-43
1.282895881213e+2,4.705413602860e-43
1.394685744386e+2,5.013797512330e-43
1.516220632401e+2,5.400430369910e-43
1.648348309571e+2,5.848388952146e-43
1.791987150404e+2,6.290877874082e-43
1.948147109446e+2,6.831125744917e-43
2.117915387499e+2,7.417769010446e-43
2.302477138688e+2,8.043920256916e-43
2.503122176397e+2,8.722926395861e-43
2.721252048365e+2,9.459249032484e-43
2.958386727537e+2,1.020245795765e-42
3.216184730481e+2,1.098920801383e-42
3.496449808359e+2,1.186864453491e-42
3.801138964228e+2,1.283578475949e-42
4.132382066710e+2,1.391928339840e-42
4.492489317584e+2,1.507386961279e-42
4.883975783271e+2,1.630219400987e-42
5.309585656743e+2,1.775007658418e-42
5.772279507818e+2,1.924840209991e-42
6.275295911321e+2,2.090141594942e-42
6.822151181972e+2,2.275777932684e-42
7.416650059055e+2,2.461224246661e-42
8.062947433215e+2,2.651018541562e-42
8.765555830007e+2,2.843901976494e-42
9.529392785278e+2,3.054942603340e-42
1.035980079625e+3,3.294968064227e-42
1.126259320479e+3,3.582769012641e-42
1.224407372937e+3,3.916811811671e-42
1.331107301479e+3,4.264684224766e-42
1.447105503620e+3,4.643452994800e-42
1.573210789732e+3,5.035417731977e-42
1.710306356137e+3,5.475239293422e-42
1.865708313979e+3,5.878430645879e-42
1.980843357883e+3,6.286013294496e-42
