x,y
6.086320699,2.09E-44
6.299672156,1.64E-44
6.342669987,1.42E-44
6.392647673,1.27E-44
6.49475845,1.14E-44
6.662435427,9.84E-45
6.692327843,8.50E-45
6.795521964,7.46E-45
6.875639168,6.53E-45
6.989782711,5.70E-45
7.110058818,4.97E-45
7.23985358,4.29E-45
7.360122501,3.74E-45
7.484397372,3.27E-45
7.621397539,2.89E-45
7.782593715,2.54E-45
7.914001967,2.25E-45
8.047629032,1.99E-45
8.185415711,1.76E-45
8.370920039,1.53E-45
8.535328253,1.33E-45
8.728762574,1.16E-45
8.916772623,1.02E-45
9.105366597,9.01E-46
9.297949423,7.96E-46
9.512688231,7.04E-46
9.699480216,6.24E-46
9.958033203,5.47E-46
10.21623856,4.79E-46
10.47607787,4.24E-46
10.74252592,3.77E-46
11.0157508,3.35E-46
11.31959189,2.97E-46
11.65618443,2.62E-46
12.00278567,2.32E-46
12.3665935,2.07E-46
12.78060116,1.83E-46
13.22560922,1.62E-46
13.70682905,1.44E-46
14.31448539,1.27E-46
14.95286316,1.13E-46
15.59207252,1.00E-46
16.29267174,8.92E-47
17.06042098,7.99E-47
17.86434838,7.20E-47
18.70615874,6.55E-47
19.58763719,6.02E-47
20.510653,5.59E-47
21.47716349,5.24E-47
22.48921824,4.96E-47
23.54896341,4.73E-47
24.65864628,4.55E-47
25.82062002,4.41E-47
27.03734873,4.31E-47
28.31141256,4.24E-47
29.6455133,4.19E-47
31.04248002,4.18E-47
32.50527512,4.18E-47
34.03700058,4.22E-47
35.64090457,4.27E-47
37.32038831,4.34E-47
39.0790133,4.42E-47
40.92050886,4.52E-47
42.84878004,4.65E-47
44.86791593,4.78E-47
46.98219827,4.94E-47
49.1961106,5.10E-47
51.51434772,5.28E-47
53.94182566,5.47E-47
56.48369209,5.67E-47
59.14533729,5.88E-47
61.93240551,6.10E-47
64.85080697,6.34E-47
67.90673042,6.59E-47
71.10665621,6.85E-47
74.45737007,7.12E-47
77.96597749,7.40E-47
81.6399188,7.70E-47
85.48698492,8.01E-47
89.51533389,8.34E-47
93.73350819,8.69E-47
98.15045285,9.05E-47
102.7755344,9.42E-47
107.6185607,9.82E-47
112.6898019,1.03E-46
118.0000119,1.07E-46
123.5604517,1.11E-46
129.3829125,1.16E-46
135.4797414,1.21E-46
141.8638673,1.26E-46
148.5488284,1.32E-46
155.5488006,1.38E-46
162.8786281,1.44E-46
170.5538543,1.50E-46
178.5907554,1.57E-46
187.0063743,1.64E-46
195.8185571,1.71E-46
205.0459908,1.79E-46
214.708243,1.87E-46
224.8258033,1.95E-46
235.420127,2.04E-46
246.5136804,2.13E-46
258.1299882,2.23E-46
270.2936839,2.33E-46
283.0305617,2.44E-46
296.3676314,2.55E-46
310.3331753,2.67E-46
324.9568087,2.79E-46
340.2695423,2.92E-46
356.3038481,3.06E-46
373.0937284,3.20E-46
390.6747875,3.35E-46
409.0843077,3.51E-46
428.3613281,3.67E-46
448.5467273,3.84E-46
469.6833102,4.03E-46
491.815899,4.22E-46
514.9914276,4.42E-46
539.2590421,4.63E-46
564.6702039,4.85E-46
591.2787998,5.08E-46
619.1412556,5.32E-46
648.3166563,5.58E-46
678.8668709,5.84E-46
710.8566839,6.12E-46
744.3539326,6.42E-46
779.4296508,6.72E-46
816.1582199,7.05E-46
854.6175261,7.38E-46
894.8891257,7.75E-46
940.7265881,7.95E-46
962.2332101,7.17E-46
982.8591431,8.21E-46
999.8730707,7.22E-46
