x,y
6.09E+00,3.41E-39
6.22E+00,2.87E-39
6.35E+00,2.38E-39
6.46E+00,2.02E-39
6.56E+00,1.76E-39
6.67E+00,1.51E-39
6.80E+00,1.29E-39
6.97E+00,1.06E-39
7.13E+00,8.63E-40
7.27E+00,7.25E-40
7.42E+00,6.07E-40
7.58E+00,5.10E-40
7.74E+00,4.28E-40
7.90E+00,3.62E-40
8.07E+00,3.04E-40
8.24E+00,2.57E-40
8.45E+00,2.17E-40
8.67E+00,1.82E-40
8.89E+00,1.54E-40
9.12E+00,1.31E-40
9.38E+00,1.11E-40
9.66E+00,9.40E-41
9.94E+00,7.97E-41
1.03E+01,6.74E-41
1.06E+01,5.68E-41
1.10E+01,4.81E-41
1.14E+01,4.11E-41
1.19E+01,3.50E-41
1.24E+01,2.98E-41
1.30E+01,2.54E-41
1.36E+01,2.17E-41
1.42E+01,1.87E-41
1.49E+01,1.63E-41
1.56E+01,1.44E-41
1.63E+01,1.28E-41
1.70E+01,1.15E-41
1.78E+01,1.04E-41
1.86E+01,9.49E-42
1.95E+01,8.73E-42
2.04E+01,8.10E-42
2.14E+01,7.60E-42
2.23E+01,7.19E-42
2.34E+01,6.86E-42
2.45E+01,6.59E-42
2.56E+01,6.39E-42
2.68E+01,6.24E-42
2.80E+01,6.16E-42
2.93E+01,6.10E-42
3.07E+01,6.13E-42
3.21E+01,6.19E-42
3.36E+01,6.28E-42
3.51E+01,6.42E-42
3.68E+01,6.58E-42
3.85E+01,6.77E-42
4.03E+01,6.98E-42
4.21E+01,7.21E-42
4.41E+01,7.45E-42
4.61E+01,7.71E-42
4.83E+01,7.97E-42
5.05E+01,8.26E-42
5.28E+01,8.57E-42
5.53E+01,8.89E-42
5.79E+01,9.22E-42
6.05E+01,9.58E-42
6.33E+01,9.95E-42
6.63E+01,1.03E-41
6.94E+01,1.08E-41
7.26E+01,1.12E-41
7.59E+01,1.16E-41
7.95E+01,1.21E-41
8.31E+01,1.26E-41
8.70E+01,1.31E-41
9.10E+01,1.36E-41
9.52E+01,1.42E-41
9.97E+01,1.48E-41
1.04E+02,1.54E-41
1.09E+02,1.60E-41
1.14E+02,1.67E-41
1.19E+02,1.74E-41
1.25E+02,1.81E-41
1.31E+02,1.88E-41
1.37E+02,1.96E-41
1.43E+02,2.05E-41
1.50E+02,2.13E-41
1.57E+02,2.22E-41
1.64E+02,2.32E-41
1.72E+02,2.42E-41
1.80E+02,2.52E-41
1.88E+02,2.63E-41
1.97E+02,2.75E-41
2.06E+02,2.87E-41
2.15E+02,3.00E-41
2.25E+02,3.13E-41
2.36E+02,3.27E-41
2.47E+02,3.41E-41
2.58E+02,3.56E-41
2.70E+02,3.72E-41
2.83E+02,3.88E-41
2.96E+02,4.06E-41
3.09E+02,4.23E-41
3.24E+02,4.43E-41
3.39E+02,4.62E-41
3.55E+02,4.83E-41
3.71E+02,5.05E-41
3.88E+02,5.28E-41
4.06E+02,5.51E-41
4.25E+02,5.76E-41
4.45E+02,6.03E-41
4.65E+02,6.30E-41
4.87E+02,6.59E-41
5.09E+02,6.88E-41
5.33E+02,7.20E-41
5.58E+02,7.53E-41
5.84E+02,7.88E-41
6.11E+02,8.23E-41
6.39E+02,8.62E-41
6.69E+02,9.01E-41
7.00E+02,9.42E-41
7.32E+02,9.86E-41
7.66E+02,1.03E-40
8.02E+02,1.08E-40
8.39E+02,1.13E-40
8.78E+02,1.18E-40
9.18E+02,1.24E-40
9.61E+02,1.29E-40
1.00E+03,1.35E-40
