x,y
6.06E+00,1.15E-37
6.15E+00,9.57E-38
6.29E+00,7.81E-38
6.38E+00,6.37E-38
6.53E+00,5.18E-38
6.66E+00,4.28E-38
6.82E+00,3.50E-38
6.95E+00,2.93E-38
7.11E+00,2.44E-38
7.26E+00,2.03E-38
7.41E+00,1.71E-38
7.57E+00,1.44E-38
7.72E+00,1.22E-38
7.92E+00,1.02E-38
8.12E+00,8.41E-39
8.34E+00,7.04E-39
8.54E+00,5.96E-39
8.76E+00,5.07E-39
8.99E+00,4.28E-39
9.25E+00,3.62E-39
9.52E+00,3.07E-39
9.80E+00,2.60E-39
1.01E+01,2.20E-39
1.05E+01,1.87E-39
1.08E+01,1.59E-39
1.12E+01,1.38E-39
1.17E+01,1.16E-39
1.22E+01,1.00E-39
1.27E+01,8.51E-40
1.33E+01,7.30E-40
1.40E+01,6.31E-40
1.46E+01,5.51E-40
1.53E+01,4.84E-40
1.60E+01,4.30E-40
1.67E+01,3.84E-40
1.75E+01,3.46E-40
1.83E+01,3.14E-40
1.92E+01,2.87E-40
2.00E+01,2.65E-40
2.10E+01,2.47E-40
2.19E+01,2.32E-40
2.30E+01,2.19E-40
2.40E+01,2.10E-40
2.51E+01,2.02E-40
2.63E+01,1.96E-40
2.75E+01,1.93E-40
2.88E+01,1.92E-40
3.01E+01,1.92E-40
3.15E+01,1.94E-40
3.30E+01,1.97E-40
3.45E+01,2.02E-40
3.61E+01,2.08E-40
3.78E+01,2.15E-40
3.95E+01,2.23E-40
4.14E+01,2.31E-40
4.33E+01,2.39E-40
4.53E+01,2.48E-40
4.74E+01,2.56E-40
4.96E+01,2.65E-40
5.19E+01,2.74E-40
5.43E+01,2.84E-40
5.68E+01,2.94E-40
5.95E+01,3.04E-40
6.22E+01,3.14E-40
6.51E+01,3.26E-40
6.81E+01,3.37E-40
7.13E+01,3.49E-40
7.46E+01,3.62E-40
7.80E+01,3.76E-40
8.17E+01,3.89E-40
8.54E+01,4.04E-40
8.94E+01,4.19E-40
9.35E+01,4.34E-40
9.79E+01,4.51E-40
1.02E+02,4.68E-40
1.07E+02,4.87E-40
1.12E+02,5.05E-40
1.17E+02,5.25E-40
1.23E+02,5.45E-40
1.28E+02,5.67E-40
1.34E+02,5.90E-40
1.41E+02,6.14E-40
1.47E+02,6.38E-40
1.54E+02,6.63E-40
1.61E+02,6.92E-40
1.69E+02,7.19E-40
1.76E+02,7.50E-40
1.85E+02,7.81E-40
1.93E+02,8.12E-40
2.02E+02,8.47E-40
2.11E+02,8.84E-40
2.21E+02,9.21E-40
2.32E+02,9.61E-40
2.42E+02,1.00E-39
2.53E+02,1.05E-39
2.65E+02,1.09E-39
2.78E+02,1.14E-39
2.90E+02,1.19E-39
3.04E+02,1.24E-39
3.18E+02,1.29E-39
3.33E+02,1.35E-39
3.48E+02,1.41E-39
3.64E+02,1.47E-39
3.81E+02,1.54E-39
3.99E+02,1.61E-39
4.17E+02,1.68E-39
4.37E+02,1.76E-39
4.57E+02,1.83E-39
4.78E+02,1.92E-39
5.00E+02,2.00E-39
5.23E+02,2.10E-39
5.48E+02,2.19E-39
5.73E+02,2.29E-39
6.00E+02,2.40E-39
6.27E+02,2.51E-39
6.56E+02,2.62E-39
6.87E+02,2.74E-39
7.19E+02,2.87E-39
7.52E+02,3.00E-39
7.87E+02,3.14E-39
8.23E+02,3.29E-39
8.62E+02,3.44E-39
9.01E+02,3.60E-39
9.43E+02,3.80E-39
9.91E+02,3.90E-39
