x,y
8.9583,1.1333e-41
9.1535,1.0298e-41
9.3436,9.2988e-42
9.4789,8.3132e-42
9.6757,7.3667e-42
9.8765,6.5369e-42
10.081,5.8046e-42
10.291,5.1472e-42
10.504,4.5675e-42
10.722,4.0530e-42
10.951,3.5668e-42
11.250,3.1332e-42
11.575,2.7440e-42
11.882,2.4199e-42
12.191,2.1477e-42
12.514,1.8940e-42
12.900,1.6523e-42
13.475,1.4581e-42
14.040,1.2832e-42
14.592,1.1372e-42
15.164,1.0083e-42
15.800,8.9042e-43
16.590,7.8903e-43
17.555,7.0576e-43
18.575,6.3702e-43
19.654,5.7874e-43
20.796,5.2870e-43
22.005,4.9329e-43
23.284,4.6303e-43
24.637,4.2942e-43
26.069,4.0207e-43
27.584,3.9606e-43
29.187,3.9190e-43
30.883,3.8681e-43
32.677,3.8103e-43
34.577,3.7382e-43
36.586,3.6823e-43
38.712,3.7102e-43
40.962,3.7214e-43
43.342,3.7176e-43
45.861,3.6675e-43
48.526,3.7703e-43
51.346,3.8994e-43
54.330,4.0349e-43
57.488,4.1772e-43
60.829,4.3223e-43
64.364,4.4726e-43
68.104,4.6326e-43
72.062,4.8057e-43
76.250,4.9802e-43
80.681,5.1610e-43
85.370,5.3484e-43
90.331,5.5510e-43
95.581,5.8019e-43
101.14,6.0794e-43
107.01,6.3670e-43
113.23,6.6715e-43
119.81,6.9836e-43
126.78,7.3176e-43
134.14,7.6753e-43
141.94,8.0545e-43
150.19,8.4482e-43
158.91,8.8612e-43
168.15,9.3037e-43
177.92,9.7634e-43
188.26,1.0277e-42
199.20,1.0844e-42
210.78,1.1443e-42
223.03,1.2069e-42
235.99,1.2736e-42
249.70,1.3439e-42
264.22,1.4195e-42
279.57,1.4994e-42
295.82,1.5846e-42
313.01,1.6746e-42
331.20,1.7689e-42
350.45,1.8694e-42
370.81,1.9717e-42
392.36,2.0764e-42
415.17,2.1844e-42
439.29,2.3004e-42
464.82,2.4202e-42
491.83,2.5487e-42
520.42,2.6854e-42
550.66,2.8351e-42
582.66,2.9917e-42
616.52,3.1553e-42
652.35,3.3312e-42
690.26,3.5152e-42
730.38,3.7093e-42
772.82,3.9161e-42
817.74,4.1303e-42
865.26,4.3606e-42
915.54,4.6037e-42
968.75,4.8555e-42
1025.0,5.1366e-42
1084.6,5.4339e-42
1147.7,5.7686e-42
1214.3,6.0994e-42
1284.9,6.4785e-42
1359.6,6.8465e-42
1438.6,7.2720e-42
1522.2,7.6890e-42
1610.7,8.1627e-42
1704.3,8.6351e-42
1803.3,9.1533e-42
1908.1,9.6928e-42
2019.0,1.0274e-41
2136.3,1.0858e-41
2260.5,1.1475e-41
2391.9,1.2127e-41
2530.9,1.2823e-41
2677.9,1.3551e-41
2833.6,1.4321e-41
2998.2,1.5135e-41
3172.5,1.6003e-41
3356.8,1.6912e-41
3551.9,1.7873e-41
3758.3,1.8888e-41
3976.8,1.9961e-41
4207.9,2.1095e-41
4452.4,2.2294e-41
4711.2,2.3572e-41
4984.9,2.4949e-41
5274.6,2.6513e-41
5581.2,2.8174e-41
5905.5,2.9940e-41
6248.7,3.1817e-41
6611.9,3.3811e-41
6996.1,3.5930e-41
7402.7,3.8181e-41
7832.9,4.0574e-41
8288.1,4.3117e-41
8769.7,4.5819e-41
9279.4,4.8691e-41
9882.6,5.1715e-41
