x,y
9.0122,3.4340e-40
9.2019,3.0492e-40
9.3687,2.7265e-40
9.5631,2.4264e-40
9.7615,2.1502e-40
9.9641,1.9004e-40
10.171,1.6840e-40
10.382,1.4884e-40
10.597,1.3189e-40
10.817,1.1657e-40
11.070,1.0244e-40
11.358,9.0269e-41
11.653,7.9844e-41
11.956,7.0585e-41
12.267,6.2499e-41
12.586,5.5252e-41
12.941,4.8777e-41
13.429,4.3741e-41
14.019,3.8633e-41
14.569,3.4417e-41
15.141,3.0641e-41
15.776,2.7099e-41
16.480,2.4238e-41
17.304,2.1691e-41
18.262,1.9391e-41
19.323,1.7386e-41
20.446,1.5747e-41
21.634,1.4325e-41
22.891,1.3157e-41
24.221,1.2561e-41
25.628,1.2068e-41
27.117,1.1405e-41
28.693,1.0752e-41
30.360,1.0440e-41
32.124,1.0230e-41
33.990,1.0030e-41
35.965,9.8758e-42
38.055,9.8758e-42
40.266,9.8758e-42
42.605,9.9524e-42
45.080,1.0250e-41
47.700,1.0495e-41
50.471,1.0711e-41
53.404,1.0925e-41
56.507,1.1143e-41
59.790,1.1361e-41
63.264,1.1582e-41
66.939,1.1946e-41
70.829,1.2410e-41
74.944,1.2887e-41
79.298,1.3388e-41
83.906,1.3915e-41
88.781,1.4450e-41
93.939,1.5267e-41
99.397,1.6296e-41
105.17,1.7386e-41
111.28,1.8548e-41
117.75,1.9798e-41
124.59,2.1121e-41
131.83,2.2522e-41
139.49,2.3982e-41
147.59,2.5560e-41
156.17,2.7217e-41
165.24,2.9008e-41
174.84,3.0918e-41
185.00,3.2810e-41
195.75,3.4617e-41
207.12,3.6524e-41
219.16,3.8535e-41
231.89,4.0677e-41
245.36,4.2917e-41
259.62,4.5368e-41
274.71,4.7843e-41
290.67,5.0723e-41
307.55,5.3516e-41
325.42,5.6709e-41
344.33,5.9832e-41
364.34,6.3402e-41
385.51,6.7413e-41
407.91,7.1643e-41
431.61,7.6101e-41
456.68,8.0954e-41
483.22,8.5950e-41
511.29,9.1476e-41
541.00,9.6467e-41
572.43,1.0227e-40
605.69,1.0801e-40
640.88,1.1434e-40
678.12,1.2087e-40
717.52,1.2784e-40
759.21,1.3527e-40
803.32,1.4293e-40
849.99,1.5145e-40
899.38,1.5980e-40
951.64,1.6941e-40
1006.9,1.7883e-40
1065.4,1.8941e-40
1127.3,2.0081e-40
1192.8,2.1289e-40
1262.1,2.2451e-40
1335.5,2.3802e-40
1413.1,2.5234e-40
1495.2,2.6714e-40
1582.0,2.8212e-40
1674.0,2.9910e-40
1771.2,3.1710e-40
1874.1,3.3521e-40
1983.0,3.5453e-40
2098.2,3.7478e-40
2220.2,3.9599e-40
2349.1,4.1800e-40
2485.6,4.4080e-40
2630.1,4.6576e-40
2782.9,4.9164e-40
2944.6,5.1922e-40
3115.6,5.4808e-40
3296.7,5.7826e-40
3488.2,6.1070e-40
3690.9,6.4495e-40
3905.3,6.8113e-40
4132.2,7.1864e-40
4372.3,7.5858e-40
4626.4,8.0113e-40
4895.2,8.4689e-40
5179.6,8.9439e-40
5480.5,9.4730e-40
5799.0,1.0043e-39
6135.9,1.0647e-39
6492.4,1.1288e-39
6869.6,1.1968e-39
7268.7,1.2688e-39
7691.1,1.3451e-39
8137.9,1.4261e-39
8610.8,1.5119e-39
9111.1,1.6029e-39
9661.1,1.6829e-39
