num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
16064,1480.39122,1022.99868,379.376999,2.33136362e-09,-5.11699974e-10,1.08709584e-10,-2.1701035e-10,8.8640253e-11,1.80000313e-09
16152,1766.76751,1050.69734,396.066457,2.57912835e-09,-5.63180267e-10,1.05613826e-10,-2.10872682e-10,7.56329943e-11,1.98632222e-09
16512,1123.58877,1035.05027,301.103297,2.48861243e-09,-5.62717095e-10,1.49235129e-10,-2.97579375e-10,1.2670116e-10,1.90425225e-09
16707,1153.54992,1013.76093,308.721379,3.39347478e-09,-7.63182095e-10,1.94971734e-10,-3.88834674e-10,1.65350106e-10,2.60177985e-09
18132,1034.77,1039.9529,397.968889,2.0060331e-09,-4.36050999e-10,1.24028541e-10,-2.47601665e-10,1.42727062e-10,1.58913604e-09
18133,1117.78421,1133.51393,399.353433,2.36240891e-09,-5.24010165e-10,1.50064044e-10,-2.99583235e-10,1.63436908e-10,1.85231647e-09
18198,1363.81286,1011.75851,348.814782,2.52902154e-09,-5.59022976e-10,1.2512792e-10,-2.49704054e-10,1.01757957e-10,1.94718038e-09
18275,4378.0651,1002.13042,371.977825,2.38653303e-09,-5.22937208e-10,4.01374867e-11,-8.01331946e-11,9.13903793e-12,1.83273915e-09
90147,4592.27751,1052.87611,399.939711,2.60346402e-09,-5.69473055e-10,4.40276458e-11,-8.79202268e-11,1.03560524e-11,2.00045444e-09
92651,4215.99892,1088.62427,377.956237,2.68232555e-09,-5.94178534e-10,5.04665314e-11,-1.00760209e-10,1.23497346e-11,2.05020308e-09
92942,1642.63385,1059.37829,313.07737,3.36572178e-09,-7.5987874e-10,1.48462972e-10,-2.96145436e-10,8.99251273e-11,2.54808571e-09
94249,3732.63032,1050.66416,377.923888,2.77448223e-09,-6.10700287e-10,5.68559442e-11,-1.13516241e-10,1.63214168e-11,2.12344306e-09
94486,2095.37195,1015.17957,367.123048,2.95394269e-09,-6.50343224e-10,1.00944285e-10,-2.01504009e-10,5.58439879e-11,2.25888373e-09
94597,1036.55763,1046.41026,342.889335,3.0698673e-09,-6.82035433e-10,1.94704904e-10,-3.88482483e-10,1.98536832e-10,2.39259112e-09
95186,1032.00127,1264.63582,349.15866,2.5245166e-09,-5.76244362e-10,1.91505035e-10,-3.8211956e-10,1.99122563e-10,1.95678028e-09
95352,1376.45992,1019.82223,365.152868,2.95163007e-09,-6.50818959e-10,1.4596659e-10,-2.91338039e-10,1.22893833e-10,2.2783335e-09
95831,2756.83903,1112.35706,390.875256,2.52856548e-09,-5.59052541e-10,7.29349371e-11,-1.45630251e-10,3.17313332e-11,1.92854896e-09
96196,4687.10428,1047.98159,393.49793,2.66388428e-09,-5.82992075e-10,4.38654637e-11,-8.75924186e-11,9.82867769e-12,2.04699393e-09
96526,2117.37584,1066.62063,348.997908,2.97433938e-09,-6.63826442e-10,1.05039836e-10,-2.09641259e-10,5.43126839e-11,2.2602242e-09
96561,1007.77087,1380.31306,373.423988,2.16518362e-09,-4.97073704e-10,1.79613237e-10,-3.58477572e-10,2.01069912e-10,1.69031549e-09
96615,4926.96053,1101.10549,395.313234,2.53492482e-09,-5.59274147e-10,4.15855222e-11,-8.30410508e-11,8.76183847e-12,1.94295698e-09
