num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
168,1970.75673,1020.58576,255.289262,4.19444702e-09,-9.43845337e-10,1.48399843e-10,-2.95717011e-10,5.83123145e-11,3.16159683e-09
240,1012.63285,1618.22111,270.541677,2.02529328e-09,-4.31386381e-10,1.81309454e-10,-3.61592073e-10,1.50047103e-10,1.56367138e-09
1212,1570.38944,1416.39622,288.441745,2.5334643e-09,-5.73153708e-10,1.48313717e-10,-2.95789178e-10,8.66576877e-11,1.89949282e-09
2070,2912.69584,1262.83939,257.129237,2.08185457e-09,-4.66669759e-10,6.08028729e-11,-1.21202995e-10,1.49558358e-11,1.56974053e-09
2178,1729.41412,1011.48842,281.334496,2.88121588e-09,-5.59429584e-10,1.0176465e-10,-2.030736e-10,5.35391871e-11,2.27401654e-09
2448,4738.70495,1030.89969,248.717857,2.56210559e-09,-5.67208327e-10,3.83750497e-11,-7.64789341e-11,4.57933346e-12,1.96137272e-09
2472,4507.12258,1405.86296,254.407107,2.3591531e-09,-5.09766191e-10,4.78692766e-11,-9.54539771e-11,6.63584017e-12,1.80843805e-09
3228,3891.01543,1127.96285,253.173793,2.86558705e-09,-5.88131236e-10,5.30757771e-11,-1.05855172e-10,9.19212255e-12,2.23386854e-09
3498,1625.94058,1401.16373,272.199818,2.22696891e-09,-4.58496293e-10,1.14163059e-10,-2.27759844e-10,6.16229703e-11,1.7164988e-09
3502,3501.66891,1227.41732,277.067844,2.1033663e-09,-4.34697088e-10,4.71999181e-11,-9.41754814e-11,1.0563116e-11,1.63225676e-09
3540,3381.44553,1425.19699,295.039238,2.24371905e-09,-5.20567419e-10,6.58184626e-11,-1.31277468e-10,1.56303722e-11,1.673323e-09
3586,2228.60307,1776.39947,246.689939,2.35083357e-09,-5.47325412e-10,1.25210917e-10,-2.49475495e-10,4.07707606e-11,1.72001435e-09
3602,2984.91085,1541.99236,255.522275,2.19323077e-09,-4.68019672e-10,7.15216616e-11,-1.42636698e-10,1.76517217e-11,1.67174778e-09
3888,4290.85996,1514.15386,247.06921,2.38885615e-09,-5.03811121e-10,5.30971442e-11,-1.05885084e-10,7.78607938e-12,1.84004317e-09
4480,4183.15191,1878.40374,246.891121,2.22321485e-09,-5.26028865e-10,6.86454353e-11,-1.36765325e-10,9.50680598e-12,1.6385729e-09
4544,2492.91221,1198.79718,276.866144,2.36164209e-09,-4.81504604e-10,7.11230501e-11,-1.41910342e-10,2.44119826e-11,1.83376218e-09
4740,4418.73854,1041.14294,254.364985,2.83951154e-09,-6.38626547e-10,4.66846393e-11,-9.30401139e-11,6.27925104e-12,2.16080877e-09
5164,4661.68138,1283.66082,259.474041,2.42872352e-09,-5.29913294e-10,4.44314793e-11,-8.8596885e-11,5.93988232e-12,1.8605847e-09
