num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
1556,2070.0033,1244.44717,220.624275,3.15313749e-09,-7.30479784e-10,1.28675911e-10,-2.56098518e-10,3.96737773e-11,2.33490888e-09
4620,1362.19862,1671.68168,197.711051,2.16378174e-09,-5.03385223e-10,1.72940072e-10,-3.43802595e-10,7.77380615e-11,1.56727205e-09
4952,4529.68442,1319.2192,206.492911,2.91298645e-09,-6.69841163e-10,5.76218906e-11,-1.14639152e-10,5.53440917e-12,2.19166244e-09
7062,1951.01744,1217.97079,193.740727,4.33449806e-09,-9.90645975e-10,1.80117907e-10,-3.58053122e-10,5.11244359e-11,3.21704131e-09
8838,2935.43914,1231.96727,211.313157,2.3403523e-09,-5.39091627e-10,6.68875136e-11,-1.3308765e-10,1.23120689e-11,1.74737261e-09
10282,1632.62714,1909.67932,191.193192,2.14830343e-09,-4.97302463e-10,1.63722733e-10,-3.25421128e-10,5.72776937e-11,1.54658027e-09
11218,3323.83112,1146.48082,210.061149,2.77553299e-09,-6.36654206e-10,6.54957405e-11,-1.30311554e-10,1.00457228e-11,2.08410869e-09
18806,2855.0854,1931.22103,211.365078,2.69748048e-09,-6.34231008e-10,1.23074537e-10,-2.44881105e-10,2.3547046e-11,1.96498995e-09
18902,4334.45477,1170.62303,202.472835,3.80806287e-09,-8.7566273e-10,7.03893416e-11,-1.39995217e-10,6.9608347e-12,2.86975509e-09
18948,4554.55209,2375.50387,193.958093,2.35917553e-09,-5.51694006e-10,8.23533936e-11,-1.63732965e-10,7.16451519e-12,1.73326647e-09
19644,1261.30941,1270.84824,229.800244,2.85671818e-09,-6.61245918e-10,1.8869097e-10,-3.75618453e-10,1.08955789e-10,2.11750057e-09
20490,4298.32883,1436.50094,220.833491,2.4836997e-09,-5.77570643e-10,5.68199333e-11,-1.13106853e-10,6.46690604e-12,1.85630904e-09
20722,2114.51332,1273.17004,242.138069,2.69828914e-09,-6.268876e-10,1.11015694e-10,-2.21119895e-10,3.73902188e-11,1.99868755e-09
21008,1551.24197,1631.80259,238.082324,2.54693748e-09,-5.98904775e-10,1.77904925e-10,-3.54278948e-10,8.5017903e-11,1.85667658e-09
21052,1443.01183,1180.51548,229.296099,3.14709193e-09,-7.24373844e-10,1.71232537e-10,-3.40880931e-10,8.5140215e-11,2.3382099e-09
21198,4241.8796,1329.73181,225.124944,2.92126763e-09,-6.76770041e-10,6.29300677e-11,-1.25289982e-10,7.50272839e-12,2.1896404e-09
21810,4593.86367,1295.20917,246.601126,2.97143832e-09,-6.88971298e-10,5.82511165e-11,-1.16055623e-10,7.02846982e-12,2.23169098e-09
21896,1614.53955,1515.59684,192.942129,3.07642364e-09,-7.15065833e-10,1.9090061e-10,-3.794054e-10,6.80689576e-11,2.24092197e-09
21974,1456.70983,2357.10317,191.420378,2.34321646e-09,-5.47862006e-10,2.46302458e-10,-4.89494454e-10,9.87053063e-11,1.65086776e-09
22384,4678.28131,2629.04667,195.506638,2.07271935e-09,-4.85621328e-10,7.79404307e-11,-1.54974151e-10,6.5928752e-12,1.51665717e-09
22700,1238.96573,1930.79136,198.369712,2.19562693e-09,-5.12890106e-10,2.20637162e-10,-4.386186e-10,1.1080567e-10,1.57556106e-09
22858,1343.60813,2164.0245,209.82156,2.40847305e-09,-5.69542058e-10,2.53297248e-10,-5.03810367e-10,1.23488435e-10,1.71190631e-09
23586,4436.79004,1610.20322,203.820146,3.03989795e-09,-7.03780517e-10,7.43567365e-11,-1.47917693e-10,7.24448688e-12,2.26980096e-09
24464,2011.96413,1887.20336,210.098722,2.12627795e-09,-4.98967243e-10,1.33003479e-10,-2.64606376e-10,4.01085662e-11,1.53581637e-09
112704,2970.78724,1426.77027,230.736301,3.40796728e-09,-7.9567331e-10,1.12145657e-10,-2.23304256e-10,2.28095068e-11,2.52394488e-09
112794,3315.89957,2473.57175,205.220311,2.16599295e-09,-5.10716576e-10,1.0861877e-10,-2.16064049e-10,1.62211227e-11,1.56405222e-09
112850,4977.9794,1299.15655,206.279091,4.20643261e-09,-9.75201303e-10,7.52410499e-11,-1.49671487e-10,6.20661989e-12,3.16300749e-09
112922,1255.68422,2054.71231,200.333881,2.66460195e-09,-6.22098436e-10,2.80497347e-10,-5.57706266e-10,1.40405969e-10,1.90570056e-09
112936,2635.38487,2435.38069,208.179391,2.15975863e-09,-5.07450621e-10,1.33160465e-10,-2.64927107e-10,2.79625584e-11,1.54850392e-09
112974,3604.70088,1766.49531,218.139195,2.88431341e-09,-6.76052824e-10,9.5955567e-11,-1.90988809e-10,1.38541774e-11,2.12708152e-09
113004,4277.6247,1460.34114,240.581376,3.18764686e-09,-7.43375004e-10,7.5023963e-11,-1.49447593e-10,9.71107771e-12,2.37955931e-09
113062,4222.86229,1470.13861,205.310401,3.70062379e-09,-8.58884487e-10,8.74891837e-11,-1.740384e-10,9.2102816e-12,2.76440036e-09
113116,4902.84294,1638.26067,223.768272,3.04797048e-09,-7.13831299e-10,6.97065499e-11,-1.38775373e-10,6.6565647e-12,2.27172692e-09
113146,4620.51438,1721.89039,207.490935,3.12202249e-09,-7.31099341e-10,7.90726052e-11,-1.57308624e-10,7.38258786e-12,2.32006972e-09
113174,4604.09099,1059.73159,242.954954,4.37316795e-09,-9.99089174e-10,7.05847026e-11,-1.40609744e-10,8.29395469e-12,3.31234769e-09
113196,1902.02189,1886.04466,215.301771,2.72668954e-09,-6.39999314e-10,1.79940635e-10,-3.58068514e-10,6.00414364e-11,1.96860378e-09
113200,2041.41125,1000.21716,218.842216,5.15349815e-09,-1.17551151e-09,1.72821583e-10,-3.43924783e-10,5.3637076e-11,3.86052052e-09
113266,2775.00066,1214.13909,205.822717,4.47368011e-09,-1.02678556e-09,1.32633634e-10,-2.63839174e-10,2.54922151e-11,3.34118123e-09
113380,3070.30856,1955.62222,203.115775,2.7984869e-09,-6.58456701e-10,1.20319165e-10,-2.39296709e-10,1.96737999e-11,2.04072645e-09
113506,2454.61836,1001.50019,230.78504,4.87591128e-09,-1.11152643e-09,1.37675592e-10,-2.7412017e-10,3.60621939e-11,3.66400247e-09
113554,1949.2733,1202.52822,219.59631,4.24152384e-09,-9.7636438e-10,1.76649364e-10,-3.51574526e-10,5.85057115e-11,3.14874e-09
113676,1726.97515,2171.70012,213.537899,2.37812496e-09,-5.60702568e-10,1.97818732e-10,-3.93597338e-10,7.35253376e-11,1.69516912e-09
113860,3128.05353,1362.49212,219.887926,3.74310229e-09,-8.69276072e-10,1.11364717e-10,-2.21663518e-10,1.97963406e-11,2.78332375e-09
113944,2972.82315,1959.01832,217.178763,2.61403495e-09,-6.17035836e-10,1.16743091e-10,-2.32337616e-10,2.18803467e-11,1.90328494e-09
113954,1795.09558,2396.66383,205.169659,2.24447414e-09,-5.30934994e-10,1.98778544e-10,-3.95334337e-10,6.7024709e-11,1.58400806e-09
114028,1438.91662,1799.48496,234.419213,2.63179386e-09,-6.19555876e-10,2.16148724e-10,-4.30385059e-10,1.1053114e-10,1.90853279e-09
114044,4941.10833,1247.65765,225.596348,3.98931944e-09,-9.2064499e-10,6.94936878e-11,-1.38360845e-10,6.63415954e-12,3.00644145e-09
114090,4661.67394,2366.13021,202.788041,2.28726541e-09,-5.36922655e-10,7.80836174e-11,-1.55316084e-10,6.99542549e-12,1.68010571e-09
114156,2526.15078,1278.06938,207.182813,4.21272531e-09,-9.68802926e-10,1.43799961e-10,-2.86070754e-10,3.16989548e-11,3.13335054e-09
114180,2081.26052,1863.034,208.137599,2.86561716e-09,-6.73584999e-10,1.71666986e-10,-3.41484519e-10,4.89258099e-11,2.07114044e-09
